TIMESTAMP,Counter,DepthCm,Latitude,Longitude
13/04/2016 7:26,102107,75.47,79.982273,-86.287222
13/04/2016 7:26,102108,81.3,79.982257,-86.287217
13/04/2016 7:26,102109,102.3,79.982248,-86.287210
13/04/2016 7:26,102110,100.6,79.982232,-86.287258
13/04/2016 7:26,102111,77.55,79.982223,-86.287260
13/04/2016 7:26,102112,54.17,79.982207,-86.287273
13/04/2016 7:26,102113,24.16,79.982188,-86.287232
13/04/2016 7:26,102114,47.09,79.982190,-86.287150
13/04/2016 7:26,102115,45.46,79.982185,-86.287112
13/04/2016 7:26,102116,42.7,79.982183,-86.287037
13/04/2016 7:26,102117,18.82,79.982183,-86.286970
13/04/2016 7:26,102118,19.1,79.982178,-86.286932
13/04/2016 7:26,102119,8.31,79.982167,-86.286905
13/04/2016 7:26,102120,6.733,79.982157,-86.286863
13/04/2016 7:26,102121,8.64,79.982145,-86.286775
13/04/2016 7:26,102122,6.396,79.982142,-86.286712
13/04/2016 7:26,102123,19.55,79.982140,-86.286633
13/04/2016 7:26,102124,28.88,79.982138,-86.286587
13/04/2016 7:26,102125,13.48,79.982135,-86.286553
13/04/2016 7:26,102126,8.76,79.982127,-86.286492
13/04/2016 7:26,102127,7.407,79.982127,-86.286460
13/04/2016 7:26,102128,15.95,79.982117,-86.286342
13/04/2016 7:26,102129,11.06,79.982118,-86.286315
13/04/2016 7:26,102130,24.04,79.982110,-86.286247
13/04/2016 7:26,102131,25.39,79.982105,-86.286173
13/04/2016 7:26,102132,33.43,79.982102,-86.286105
13/04/2016 7:27,102133,54.28,79.982097,-86.286072
13/04/2016 7:27,102134,8.98,79.982095,-86.286015
13/04/2016 7:27,102135,4.766,79.982093,-86.285942
13/04/2016 7:27,102136,58.72,79.982080,-86.285843
13/04/2016 7:27,102137,96.4,79.982078,-86.285773
13/04/2016 7:27,102138,75.75,79.982078,-86.285687
13/04/2016 7:27,102139,80,79.982075,-86.285645
13/04/2016 7:27,102140,72.38,79.982067,-86.285582
13/04/2016 7:27,102141,32.7,79.982065,-86.285525
13/04/2016 7:27,102142,49.9,79.982067,-86.285452
13/04/2016 7:27,102143,39.33,79.982062,-86.285393
